CNPJ, RazaoSocial, Trimestre, Ano, ValorDespesas
80653975000158, UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO, 1º Trimestre, 2025, 7592333.76
80653975000158, UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO, 2º Trimestre, 2025, 13755358.31
80653975000158, UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO, 3º Trimestre, 2025, 19527735.99
09433795000104, QUALLITY PRÓ SAÚDE PLANO DE ASSISTÊNCIA MÉDICA LTDA, 1º Trimestre, 2025, 75197341.15
09433795000104, QUALLITY PRÓ SAÚDE PLANO DE ASSISTÊNCIA MÉDICA LTDA, 2º Trimestre, 2025, 144033495.44
09433795000104, QUALLITY PRÓ SAÚDE PLANO DE ASSISTÊNCIA MÉDICA LTDA, 3º Trimestre, 2025, 222196452.92
35642768000143, UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO, 1º Trimestre, 2025, 15906839.55
35642768000143, UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO, 2º Trimestre, 2025, 34253891.07
35642768000143, UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO, 3º Trimestre, 2025, 54617679.68
42160192000143, FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL, 1º Trimestre, 2025, 68453422.97
42160192000143, FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL, 2º Trimestre, 2025, 158921471.19
42160192000143, FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL, 3º Trimestre, 2025, 256160808.3
02725347000127, CARE PLUS MEDICINA ASSISTENCIAL LTDA, 1º Trimestre, 2025, 460441894.85
02725347000127, CARE PLUS MEDICINA ASSISTENCIAL LTDA, 2º Trimestre, 2025, 987508918.53
02725347000127, CARE PLUS MEDICINA ASSISTENCIAL LTDA, 3º Trimestre, 2025, 1537758381.34
04574626000162, CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL, 1º Trimestre, 2025, 13091217.23
04574626000162, CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL, 2º Trimestre, 2025, 28611998.54
04574626000162, CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL, 3º Trimestre, 2025, 43942720.35
41781949000153, UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS, 1º Trimestre, 2025, 22361303.13
41781949000153, UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS, 2º Trimestre, 2025, 49657351.53
41781949000153, UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS, 3º Trimestre, 2025, 79509217.13
25906728000108, COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ, 1º Trimestre, 2025, 535510.8
25906728000108, COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ, 2º Trimestre, 2025, 1213172.83
25906728000108, COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ, 3º Trimestre, 2025, 1936327.92
92316124000107, UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA, 1º Trimestre, 2025, 4797879.16
92316124000107, UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA, 2º Trimestre, 2025, 10002656.48
92316124000107, UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA, 3º Trimestre, 2025, 15493115.23
02254846000183, COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ, 1º Trimestre, 2025, 1091108.3
02254846000183, COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ, 2º Trimestre, 2025, 2296386.53
02254846000183, COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ, 3º Trimestre, 2025, 3546601.06
81715716000177, UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO, 1º Trimestre, 2025, 7070700.63
81715716000177, UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO, 2º Trimestre, 2025, 13580380.85
81715716000177, UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO, 3º Trimestre, 2025, 21151386.7
00307714000147, ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL, 1º Trimestre, 2025, 5883267.45
00307714000147, ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL, 2º Trimestre, 2025, 11433150.27
00307714000147, ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL, 3º Trimestre, 2025, 14444789.29
41369935000127, SAME-SERVIÇO DE ASSISTÊNCIA MÉDICA EMPRESARIAL LTDA, 1º Trimestre, 2025, 350799.98
41369935000127, SAME-SERVIÇO DE ASSISTÊNCIA MÉDICA EMPRESARIAL LTDA, 2º Trimestre, 2025, 688061.59
41369935000127, SAME-SERVIÇO DE ASSISTÊNCIA MÉDICA EMPRESARIAL LTDA, 3º Trimestre, 2025, 1001850.24
16608812000154, SOCIEDADE BENEFICENTE DEZOITO DE JULHO, 1º Trimestre, 2025, 7269337.02
16608812000154, SOCIEDADE BENEFICENTE DEZOITO DE JULHO, 2º Trimestre, 2025, 15000009.52
16608812000154, SOCIEDADE BENEFICENTE DEZOITO DE JULHO, 3º Trimestre, 2025, 23448086.07
51473692000126, IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA, 1º Trimestre, 2025, 10633298.72
51473692000126, IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA, 2º Trimestre, 2025, 21611285.81
51473692000126, IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA, 3º Trimestre, 2025, 32467420.15
40187311000126, GOCARE PLANOS DE SAUDE LTDA, 1º Trimestre, 2025, 11473453.18
40187311000126, GOCARE PLANOS DE SAUDE LTDA, 2º Trimestre, 2025, 25411384.01
40187311000126, GOCARE PLANOS DE SAUDE LTDA, 3º Trimestre, 2025, 39938055.18
02513939000185, PLANO ASSISTENCIAL SÃO LUCAS LTDA, 1º Trimestre, 2025, 1448434.55
02513939000185, PLANO ASSISTENCIAL SÃO LUCAS LTDA, 2º Trimestre, 2025, 3023044.48
02513939000185, PLANO ASSISTENCIAL SÃO LUCAS LTDA, 3º Trimestre, 2025, 4618358.86
14891935000110, ODONTO SEG OPERADORA DE PLANOS ODONTOLOGICOS S.A, 1º Trimestre, 2025, 489019.5
14891935000110, ODONTO SEG OPERADORA DE PLANOS ODONTOLOGICOS S.A, 2º Trimestre, 2025, 909959.84
14891935000110, ODONTO SEG OPERADORA DE PLANOS ODONTOLOGICOS S.A, 3º Trimestre, 2025, 1278529.32
02569472000195, CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA, 1º Trimestre, 2025, 625321.19
02569472000195, CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA, 2º Trimestre, 2025, 1241809.7
02569472000195, CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA, 3º Trimestre, 2025, 1843391.87
25205234000104, R.M.I. OPERADORA DE SAÚDE INTEGRADA LTDA, 2º Trimestre, 2025, 8493462.96
25205234000104, R.M.I. OPERADORA DE SAÚDE INTEGRADA LTDA, 3º Trimestre, 2025, 13235946
04439627000102, ALLIANZ SAÚDE S/A, 1º Trimestre, 2025, 6458393.9
04439627000102, ALLIANZ SAÚDE S/A, 2º Trimestre, 2025, 13166775.03
04439627000102, ALLIANZ SAÚDE S/A, 3º Trimestre, 2025, 17357016.24
35908607000159, CAMIM OPERADORA DE PLANO DE SAÚDE LTDA, 1º Trimestre, 2025, 1143068.51
35908607000159, CAMIM OPERADORA DE PLANO DE SAÚDE LTDA, 2º Trimestre, 2025, 2298986.16
35908607000159, CAMIM OPERADORA DE PLANO DE SAÚDE LTDA, 3º Trimestre, 2025, 3399327.58
02009924000184, GAMA SAUDE LTDA, 1º Trimestre, 2025, 1642460.13
02009924000184, GAMA SAUDE LTDA, 2º Trimestre, 2025, -599132.66
02009924000184, GAMA SAUDE LTDA, 3º Trimestre, 2025, 2504862.27
86584901000193, UNIMED MACHADO COOPERATIVA DE TRABALHO MEDICO, 1º Trimestre, 2025, 1672607.0
86584901000193, UNIMED MACHADO COOPERATIVA DE TRABALHO MEDICO, 2º Trimestre, 2025, 3212597.84
86584901000193, UNIMED MACHADO COOPERATIVA DE TRABALHO MEDICO, 3º Trimestre, 2025, 5246484.46
33546979000157, UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA, 1º Trimestre, 2025, 8511012.55
33546979000157, UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA, 2º Trimestre, 2025, 16281556.47
33546979000157, UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA, 3º Trimestre, 2025, 24731016.6
34063123000193, UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO, 1º Trimestre, 2025, 1032152.83
34063123000193, UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO, 2º Trimestre, 2025, 655289.81
34063123000193, UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO, 3º Trimestre, 2025, 4051552.24
29910807000143, RIO DOCE SAÚDE, 1º Trimestre, 2025, 3489799.58
29910807000143, RIO DOCE SAÚDE, 2º Trimestre, 2025, 6987733.33
29910807000143, RIO DOCE SAÚDE, 3º Trimestre, 2025, 11520258.6
28630531000187, UNIMED-SÃO GONÇALO - NITERÓI - SOC.COOP.SERV.MED E HOSP LTDA, 1º Trimestre, 2025, 105508377.94
28630531000187, UNIMED-SÃO GONÇALO - NITERÓI - SOC.COOP.SERV.MED E HOSP LTDA, 2º Trimestre, 2025, 194927329.36
28630531000187, UNIMED-SÃO GONÇALO - NITERÓI - SOC.COOP.SERV.MED E HOSP LTDA, 3º Trimestre, 2025, 302211259.92
04212174000179, DENTAL MASTER LTDA - EPP, 1º Trimestre, 2025, 1024378.27
04212174000179, DENTAL MASTER LTDA - EPP, 2º Trimestre, 2025, 2010709.24
04212174000179, DENTAL MASTER LTDA - EPP, 3º Trimestre, 2025, 3003964.17
39419809000198, PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE, 1º Trimestre, 2025, 106664231.94
